"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Case.Count","Population"
"526",2009,"Colorado","Oral Cavity and Pharynx","8.9","449",4972195
"527",2009,"Connecticut","Oral Cavity and Pharynx","11","462",3561807
"528",2009,"Delaware","Oral Cavity and Pharynx","12.8","135",891730
"529",2009,"District of Columbia","Oral Cavity and Pharynx","11.5","66",592228
"530",2009,"Florida","Oral Cavity and Pharynx","13.4","3173",18652644
"531",2009,"Georgia","Oral Cavity and Pharynx","12.2","1165",9620846
"532",2009,"Hawaii","Oral Cavity and Pharynx","12.3","196",1346717
"533",2009,"Idaho","Oral Cavity and Pharynx","14.1","223",1554439
"534",2009,"Illinois","Oral Cavity and Pharynx","11.7","1596",12796778
"535",2009,"Indiana","Oral Cavity and Pharynx","11.2","788",6459325
